,target
646,33.63151221
647,31.41908251
648,21.41625434
649,20.69248801
650,16.64246599
651,13.33960704
652,13.74833745
653,13.69490326
654,15.06538525
655,25.89623126
656,33.04453188
657,37.30478741
658,33.50805659
659,39.05918016
660,39.28800466
661,35.31407776
662,33.71902345
663,38.04251355
664,37.04289508
665,41.35342263
666,41.44431157
667,45.80786145
668,57.68917901
669,48.78579988
670,44.37661798
671,41.2737172
672,31.62172095
673,24.90777507
674,22.82263573
675,15.312041
676,17.0575014
677,17.47039049
678,28.26937568
679,29.86788959
680,32.28418002
681,36.1802424
682,30.66703326
683,30.96227263
684,34.04736426
685,38.67127258
686,30.82237156
687,33.36783259
688,33.61498109
689,32.55782942
690,33.5394554
691,51.42497385
692,39.02788497
693,29.92252498
694,32.39946963
695,34.12089874
696,17.90764502
697,16.43935016
698,15.79857605
699,18.54915842
700,19.61424772
701,25.29899242
702,25.34036112
703,70.95815442
704,65.5763403
705,37.04139249
706,32.81828723
707,24.35824504
708,22.92525227
709,27.77016651
710,31.28860898
711,40.00754698
712,44.38629303
713,45.4180115
714,41.18835837
715,38.54205067
716,35.1772009
717,39.25240925
718,32.70742515
719,36.40917381
720,35.74121073
721,52.03932033
722,66.85498153
723,153.04512853
724,139.35151006
725,49.51213488
726,21.48567478
727,16.76288044
728,13.14057245
729,12.00964743
730,11.03851624
731,10.5018062
732,15.05297831
733,26.4488336
734,39.10042193
735,39.19404805
736,39.90718536
737,39.93218891
738,45.42794505
739,41.20306075
740,38.9723842
741,41.57617902
742,44.87823043
743,49.71256841
744,50.70548
745,58.34446538
746,64.66485861
747,69.30439341
748,65.13085353
749,49.00503843
750,32.0669345
751,27.5047876
752,21.88435631
753,22.37602445
754,23.48470159
755,26.83306474
756,37.49967636
757,40.411657
758,38.20467922
759,42.44297866
760,34.26439679
761,38.21717601
762,33.49020661
763,35.23517621
764,33.63515888
765,42.16281784
766,41.12626998
767,51.11614166
768,70.09999525
769,114.35383193
770,116.88734644
771,75.50757011
772,57.20930822
773,53.23021204
774,41.15471714
775,43.53954842
776,40.5425072
777,41.71989807
778,45.57330907
779,42.26641757
780,61.53035195
781,60.24309652
782,66.19637059
783,49.1567381
784,29.20597281
785,34.87014822
786,34.54221023
787,46.04412881
788,49.86691597
789,62.88614053
790,68.33476513
791,69.22389108
792,91.96591593
793,92.11339111
794,89.69722316
795,86.94265666
796,53.82661486
797,30.22195312
798,30.69112992
799,30.44090726
800,32.81020973
801,51.52350644
802,53.39138036
803,56.88449983
804,48.51490715
805,44.59035798
806,48.14896357
807,36.01736695
808,42.26073208
809,43.39307932
810,40.52844492
811,42.33740279
812,45.93661669
813,50.41122557
814,46.84711524
815,83.81754189
816,86.78904816
817,87.62290365
818,65.82171071
819,57.6366598
820,37.67340139
821,35.1058316
822,27.11009294
823,26.1986586
824,31.71764898
825,36.92776758
826,37.61267288
827,36.10675149
828,41.12988376
829,36.15700691
830,25.39452727
831,27.79230556
832,24.63815147
833,29.41558851
834,25.8048984
835,22.07589077
836,30.55185902
837,37.48107093
838,97.55485757
839,130.65108056
840,98.91694832
841,97.67948649
842,75.20390461
843,63.2557981
844,52.10006925
845,49.09590873
846,38.84589572
847,33.26949899
848,36.16294685
849,29.25306519
850,28.56677138
851,38.24954655
852,32.83510596
853,25.79949241
854,26.49046827
855,34.93775218
856,24.44364987
857,29.7704249
858,35.8590223
859,44.28862924
860,61.72679252
861,105.2495382
862,79.97049474
863,72.31886849
864,60.37226284
865,77.58496589
866,76.40085131
867,36.18003181
868,16.9224734
869,27.25005794
870,42.31865171
871,48.21259472
872,61.79288765
873,46.38150106
874,51.27769483
875,45.55694991
876,56.62355411
877,48.62683541
878,55.67311426
879,64.86589206
880,67.66239373
881,70.24201463
882,69.98074084
883,64.10702586
884,52.57867921
885,41.07044835
886,38.372063
887,26.54459576
888,28.83875949
889,40.61945666
